Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Grab,https://www.crunchbase.com/organization/grabtaxi,"Internet, Mobile, Ride Sharing, Transportation, Travel","Midview City, Central Region, Singapore","Grab is a ride-hailing platform that offers booking service for taxis, private cars, and motorbikes through one mobile.",23
GO-JEK,https://www.crunchbase.com/organization/go-jek,"Apps, Delivery, Food Processing, Logistics, Payments, Same Day Delivery, Transportation","Jakarta, Jakarta Raya, Indonesia","GO-JEK provides services that include transportation, logistics, mobile payments, food delivery, and many other on-demand services",58
General Motors,https://www.crunchbase.com/organization/general-motors,"Automotive, Enterprise Software, Manufacturing, Transportation","Detroit, Michigan, United States","General Motors is a Detroit-based mutinational corporation that manufactures, markets, and distributes vehicles and vehicle parts.",62
Glassdoor,https://www.crunchbase.com/organization/glassdoor,"Career Planning, Employment, Recruiting, Social Media","Mill Valley, California, United States","Glassdoor is a jobs and recruiting marketplace headquartered in Mill Valley, California.",68
Groupon,https://www.crunchbase.com/organization/groupon,"Advertising, Internet, Retail, Social Media","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,82
GreenSky,https://www.crunchbase.com/organization/greensky,"Consumer Lending, Credit, Financial Services","Atlanta, Georgia, United States",GreenSky offers fast and paperless solutions and financial services to businesses of all sizes.,85
General Electric (GE),https://www.crunchbase.com/organization/general-electric,"Electronics, Energy, Energy Management, Finance, FinTech, Manufacturing","Fairfield, Connecticut, United States",General Electric Company offers infrastructure and financial services worldwide.,100
General Assembly,https://www.crunchbase.com/organization/general-assembly,"Education, UX Design, Web Development","New York, New York, United States","General Assembly is a pioneer in education and career transformation, specializing in today’s most in-demand skills.",117
Gett,https://www.crunchbase.com/organization/get-taxi,"Delivery, Logistics, Ride Sharing, Transportation","New York, New York, United States",Gett is a global transportation and delivery company.,120
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,"Banking, Finance, Financial Services, Security, Venture Capital","New York, New York, United States","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.",212
Goop ,https://www.crunchbase.com/organization/goop,"Beauty, Content, E-Commerce, Fashion, Health Care, Travel, Wellness","Los Angeles, California, United States",Goop is a lifestyle brand providing digital content and commerce.,216
GoPro,https://www.crunchbase.com/organization/gopro,"3D Technology, Consumer Electronics, Hardware, Photography, Software, Video, Wearables","San Mateo, California, United States",GoPro is a brand of personal cameras used in extreme action video photography.,248
GGV Capital,https://www.crunchbase.com/organization/ggv-capital,"Business Development, Financial Services, Venture Capital","Menlo Park, California, United States",GGV Capital is a $3.8 billion multi-stage venture capital firm based in Silicon Valley and China.,258
Google,https://www.crunchbase.com/organization/google,"Ad Network, Artificial Intelligence, Blogging Platforms, Collaboration, Email, Enterprise Software, Information Technology, Machine Learning, Search Engine, Video Streaming","Mountain View, California, United States",Google is a multinational corporation that is specialized in internet-related services and products.,300
