Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Facebook,https://www.crunchbase.com/organization/facebook,"Social, Social Media, Social Network","Menlo Park, California, United States",Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.,48
FreightWaves,https://www.crunchbase.com/organization/transvix,"Analytics, Financial Services, Freight Service, Logistics, Marketplace, Predictive Analytics, Railroad, Transportation","Chattanooga, Tennessee, United States",FreightWaves is a SaaS provider of data for the  North American freight markets. ,60
Family Pet,https://www.crunchbase.com/organization/family-pet,"Knowledge Management, Pet, Service Industry","Nassau, New York, United States",FamilyPet focuses on providing a resourceful and convenient destination for pet owners looking for high-quality pet care services.,126
FlipGrid,https://www.crunchbase.com/organization/flipgrid,"Online Portals, Social Media, Social Network, Video","Minneapolis, Minnesota, United States","Flipgrid is a video platform promoting active, social learning in classrooms and enterprises around the world.",131
FanDuel,https://www.crunchbase.com/organization/fanduel,"Fantasy Sports, Gaming, Sports","New York, New York, United States",FanDuel offers fantasy sports with daily games for real money.,144
Founders Fund,https://www.crunchbase.com/organization/founders-fund,"Angel Investment, Finance, Venture Capital","San Francisco, California, United States",Founders Fund is a San Francisco based venture capital firm investing in companies building revolutionary technologies.,222
Flatiron Health,https://www.crunchbase.com/organization/flatiron-health,"Cloud Computing, Health Care, Software","New York, New York, United States",Flatiron Health is a healthcare tech company that improves lives by learning from the experience of every cancer patient.,245
Flipkart,https://www.crunchbase.com/organization/flipkart,"E-Commerce, Internet, Retail, Shopping","Bengaluru, Karnataka, India",Flipkart is an India-based online retailing platform that offers  30 million products cross 70+ categories.,266
Falkonry,https://www.crunchbase.com/organization/falkonry,"Industrial, Internet of Things, Machine Learning, Predictive Analytics, SaaS, Software","Sunnyvale, California, United States",Ready-to-use operational machine learning ,274
FlyHomes,https://www.crunchbase.com/organization/flyhomes,"Financial Services, Real Estate","Seattle, Washington, United States","FlyHomes is an end-to-end real estate brokerage and technology company that empowers home buyers, sellers, and agents to win.",323
Freshworks,https://www.crunchbase.com/organization/freshdesk,"Customer Service, Information Technology, SaaS, Software","San Bruno, California, United States","Freshworks creates solutions for support and sales, to engage with and delight both customers and employees.",371
Farmdrop,https://www.crunchbase.com/organization/farmdrop,"Collaboration, Internet, Marketplace","London, England, United Kingdom","Farmdrop enables consumers to buy fresh produce online, directly from producers and farmers.",372
First Data Corporation,https://www.crunchbase.com/organization/first-data-corporation,"E-Commerce, Financial Services, Payments","Atlanta, Georgia, United States","First Data Corporation provides electronic commerce and payment solutions for merchants, financial institutions, and card issuers.",443
Funding Circle,https://www.crunchbase.com/organization/funding-circle,"Finance, Financial Services, FinTech, Personal Finance","London, England, United Kingdom","Funding Circle is a lending platform focused exclusively on small businesses operating in in the U.S., the U.K. and Continental Europe.",445
Fortis Healthcare,https://www.crunchbase.com/organization/fortis-healthcare,"Biotechnology, Health Care, Health Diagnostics","Gurgaon, Haryana, India","Fortis Healthcare Limited is a leading, pan Asia-Pacific, integrated healthcare delivery provider.",467
Farfetch,https://www.crunchbase.com/organization/farfetch,"E-Commerce, Fashion, Internet","London, England, United Kingdom",Farfetch brings together independent fashion boutiques to provide a wide selection of elegant brands and styles.,493
Flexport,https://www.crunchbase.com/organization/flexport,"Logistics, SaaS, Shipping, Supply Chain Management","San Francisco, California, United States",Flexport is a full-service global freight forwarder and logistics platform using modern software to fix the user experience in global trade.,494
FireEye,https://www.crunchbase.com/organization/fireeye,"Internet, Network Security, Security, Web Development","Milpitas, California, United States",FireEye is a malware protection system that blocks attacks across web and email threat vectors and latent malware resident on file shares.,535
