Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Lenovo,https://www.crunchbase.com/organization/lenovo,"Computer, Electronics, Hardware, Manufacturing, Mobile","Morrisville, North Carolina, United States",Lenovo Group is a Chinese multinational computer technology company.,20
Lime,https://www.crunchbase.com/organization/limebike,"Cycling, Mobile Apps, Ride Sharing, Transportation","San Mateo, California, United States",Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint. ,34
LinkedIn,https://www.crunchbase.com/organization/linkedin,"Professional Networking, Professional Services, Social Media, Social Recruiting","Mountain View, California, United States","LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.",37
LOLA,https://www.crunchbase.com/organization/lola,"Consumer, Shopping, Women's","New York, New York, United States","LOLA is a subscription service that delivers tampons, pads, and feminine cleansing wipes, and other products.",106
Lyft,https://www.crunchbase.com/organization/lyft,"Mobile Apps, Peer to Peer, Ride Sharing, Transportation","San Francisco, California, United States",Lyft is a ridesharing company in the U.S. that that matches drivers with passengers who request rides.,123
Leanplum,https://www.crunchbase.com/organization/leanplum,"A/B Testing, Analytics, App Marketing, Apps, Artificial Intelligence, CRM, Digital Marketing, E-Commerce, E-Commerce Platforms, Email, Email Marketing, Enterprise Software, Intelligent Systems, Machine Learning, Marketing, Marketing Automation, Messaging, Mobile, Mobile Apps, Personalization, Predictive Analytics, SMS","San Francisco, California, United States",Leanplum is a mobile marketing platform that delivers meaningful engagement across messaging and the in-app experience.,155
Lennar Corporation,https://www.crunchbase.com/organization/lennar-corporation,"Construction, Lifestyle, Real Estate","Miami, Florida, United States",Lennar is a home building company providing new home construction and buying services in various states in the United States.,166
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,"Cyber Security, National Security, Security","Bethesda, Maryland, United States","Lockheed Martin is a security company engaged in the research, development, and manufacture of advanced technology systems and products.",290
LeaseQ,https://www.crunchbase.com/organization/leaseq,"Enterprise Software, Finance, Financial Services, Marketplace, SaaS","Burlington, Massachusetts, United States","LeaseQ is an online market place that connects businesses, equipment dealers, and leasing companies to make selling equipment fast.",334
LogRhythm,https://www.crunchbase.com/organization/logrhythm,"Analytics, Enterprise Software, Event Management","Maidenhead, Windsor and Maidenhead, United Kingdom","LogRhythm is a provider of log management, security information and event management solutions for organizations.",336
Live.me,https://www.crunchbase.com/organization/live-me,"Broadcasting, Mobile Apps, Online Games, Video Streaming","West Hollywood, California, United States","Live.me is a live broadcasting app that lets you discover new content, find cool people, build a community, and earn cash rewards.",360
