Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Uber,https://www.crunchbase.com/organization/uber,"Mobile Apps, Public Transportation, Ride Sharing, Transportation","San Francisco, California, United States",Uber is a ridesharing company in the U.S. that connects passengers with drivers through a mobile app.,43
Urban Airship,https://www.crunchbase.com/organization/urban-airship,"Analytics, Information Technology, Messaging, Mobile","Portland, Oregon, United States","Urban Airship delivers billions of personalized notifications across apps, websites, mobile wallets, email, and SMS.",138
Ubisoft,https://www.crunchbase.com/organization/ubisoft,"Media and Entertainment, Publishing, Video Games","Montreuil-sous-bois, Ile-de-France, France","Ubisoft is a leading producer, publisher and distributor of interactive entertainment products. ",262
UiPath,https://www.crunchbase.com/organization/uipath,"Data Center Automation, Enterprise Software, Robotics","New York, New York, United States",UiPath is a New York-based robotic process automation vendor.,295
Unison Home Ownership Investors,https://www.crunchbase.com/organization/unison-home-ownership-investors,Financial Services,"San Francisco, California, United States",Unison opens the door for more people to buy and own the home they want with less debt through its HomeBuyer and HomeOwner programs.,346
Unity Technologies,https://www.crunchbase.com/organization/unity-technologies,"3D Technology, Content, Embedded Systems, Enterprise Software, Video Games, Virtual Reality","San Francisco, California, United States","Unity Technologies is the creator of Unity, a high-performance end-to-end development platform that creates rich interactive experiences.",355
Udacity,https://www.crunchbase.com/organization/udacity,"E-Learning, EdTech, Education, Internet","Mountain View, California, United States","Udacity is an e-learning platform that offers credential programs in artificial intelligence, machine learning, and robotics.",413
Udemy,https://www.crunchbase.com/organization/udemy,"E-Learning, Education, Marketplace","San Francisco, California, United States",Udemy is a global marketplace for learning and teaching online.,472
UrbanClap,https://www.crunchbase.com/organization/urbanclap,"Apps, Information Services, Information Technology","Delhi, Delhi, India",UrbanClap is the simplest way to hire trusted services.,499
Uptycs,https://www.crunchbase.com/organization/uptycs,"Computer, Network Security","Waltham, Massachusetts, United States",The first scalable security analytics platform powered by osquery. ,515
Unified,https://www.crunchbase.com/organization/unified,"Analytics, Big Data, Brand Marketing, Marketing Automation, Social Media Advertising, Social Media Management, Social Media Marketing","New York, New York, United States",Unified equips marketers with information and intelligence they need to make the best decisions about their social advertising investments.,659
Uxin,https://www.crunchbase.com/organization/uxin,"Auctions, Automotive, E-Commerce, Online Auctions","Beijing, Beijing, China",Uxin is a service provider that offers a range of second-hand electronic cars.,660
Unlockd,https://www.crunchbase.com/organization/unlockd-media,"Advertising, Apps, Mobile, Telecommunications","London, England, United Kingdom","Unlockd is a mobile platform that rewards consumers when they unlock their digital device and view targeted ads, content or offers",721
Upwork,https://www.crunchbase.com/organization/odesk,"Enterprise Software, Freelance, Marketplace","Mountain View, California, United States","Upwork, the world’s largest freelancing website, makes it easier to get work done—anytime, anywhere.",750
UBTECH Robotics,https://www.crunchbase.com/organization/ubtech,"Consumer Electronics, Industrial Engineering, Product Research, Robotics","Shenzhen, Guangdong, China",UBTECH Robotics makes intelligent humanoid robots for consumer and commercial applications.,754
Universe,https://www.crunchbase.com/organization/universe-2,"Mobile, Mobile Apps, Software, Web Development","Brooklyn, New York, United States",Universe is a mobile app that enables users to create websites using their mobile phones.,976
Universe,https://www.crunchbase.com/organization/universe,"E-Commerce, Events, Mobile, Mobile Payments, Ticketing","San Francisco, California, United States","Universe is a website where users can find events in their area, and event organizers can publicize their events.","1,045"
Upstart,https://www.crunchbase.com/organization/upstart,"Credit, Finance, Financial Services, FinTech, Internet, Lending, Personal Finance","San Carlos, California, United States",Upstart is the first lending platform to leverage machine learning to price credit and automate the borrowing process.,"1,061"
Upserve,https://www.crunchbase.com/organization/swipely,"Hospitality, Information Technology, Restaurants, SaaS, Service Industry, Software","Providence, Rhode Island, United States",Upserve is the smart management assistant that puts everything restaurateurs need to know in one place.,"1,099"
Unchained Capital,https://www.crunchbase.com/organization/unchained-capital,"Bitcoin, Cryptocurrency, Ethereum, Financial Services, FinTech","Austin, Texas, United States",Unchained Capital is a new kind of financial services company that lend cash to long-term crypto holders.,"1,163"
UrtheCast,https://www.crunchbase.com/organization/urthecast,"Aerospace, Big Data, Internet, Real Time","Vancouver, British Columbia, Canada","UrtheCast is developing the world's first Ultra HD Earth video, streamed from the International Space Station (ISS) in full colour.","1,206"
Urban Ladder,https://www.crunchbase.com/organization/urban-ladder,"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet","Bangalore, Karnataka, India",Urban Ladder is a Bangalore-based online furniture company.,"1,227"
Udaan,https://www.crunchbase.com/organization/udaan,"B2B, Business Development, Internet, Marketplace","Bangalore, Karnataka, India","Making online trading simple, safe and convenient .","1,284"
United Technologies,https://www.crunchbase.com/organization/united-technologies,"Aerospace, Security, Smart Building, Transportation","Hartford, Connecticut, United States",United Technologies Corporation (UTC) provides a broad range of high-technology products and services for the aerospace.,"1,316"
uBiome,https://www.crunchbase.com/organization/ubiome,"Health Care, Machine Learning, Quantified Self","San Francisco, California, United States",uBiome is the world’s first effort to map the human microbiome with citizen science.,"1,368"
Untuckit,https://www.crunchbase.com/organization/untuckit,"Fashion, Lifestyle, Men's","New York, New York, United States",Untuckit is a New York City-based direct-to-consumer apparel brand.,"1,569"
United Masters,https://www.crunchbase.com/organization/unitedmasters,"Marketing, Music, Music Label","New York, New York, United States",United Masters gives musicians an alternative to exploitative record label deals.,"1,740"
Updater,https://www.crunchbase.com/organization/updater,"Internet, Real Estate, SaaS, Software","New York, New York, United States",Updater makes moving easier for the 45 million Americans on the move every year.,"1,880"
Univision Communications,https://www.crunchbase.com/organization/univision-communications,"Broadcasting, Communities, Digital Media, Media and Entertainment, News, Publishing, Social News, TV Production","New York, New York, United States",Univision Communications is a media company that provides media-related services.,"2,040"
UserTesting,https://www.crunchbase.com/organization/usertesting-com,"Crowdsourcing, Internet, Test and Measurement","San Francisco, California, United States",UserTesting is a crowdsourcing service that provides usability testing through a large panel of on-demand users.,"2,117"
Unikrn,https://www.crunchbase.com/organization/unikrn-2,"Gaming, Internet, Media and Entertainment","Seattle, Washington, United States","Unikrn.com is an eSports wagering service provide a safe and legal place to gather, game, and bet on eSports.","2,126"
Unelma Platforms,https://www.crunchbase.com/organization/unelma-platforms,"Analytics, Artificial Intelligence, Cloud Computing, Consulting, CRM, Enterprise Software, Health Care, Higher Education, Human Computer Interaction, Internet of Things, SaaS, Web Hosting","Narayani, Nepal, Asia",Unelma platforms aims to deliver state-of-the-art software to empower people ,"2,217"
Ucommune,https://www.crunchbase.com/organization/urwork,"Business Development, Coworking, Virtual Workforce","Beijing, Beijing, China",Ucommune provides co-working spaces for Chinese startups.,"2,258"
Unacademy,https://www.crunchbase.com/organization/unacademy,"E-Learning, Education, Internet","Bangalore, Karnataka, India",Unacademy builds educational repository by empowering great educators and making it accessible to everyone.,"2,349"
UNITY Biotechnology,https://www.crunchbase.com/organization/unity-biotechnology,"Biotechnology, Health Care, Medical","Brisbane, California, United States","Unity Biotechnology, Inc. designs therapeutics that prevent, halt, and reverse various diseases of aging.","2,616"
Upland Software,https://www.crunchbase.com/organization/upland-software,"Cloud Data Services, Enterprise Software, Information Technology","Austin, Texas, United States","Upland Software delivers cloud-based project, portfolio and work management software applications for enterprises.","2,644"
UpLift,https://www.crunchbase.com/organization/uplift-inc,"E-Commerce, Information Services, Information Technology, Software, Travel","Menlo Park, California, United States","UpLift makes travel more accessible, affordable and rewarding by enabling travel providers to offer flexible payments to their customers.","2,835"
Uninterrupted,https://www.crunchbase.com/organization/uninterrupted,"Content, Social Network, Sports",,"Unfiltered. Insightful. Entertaining. Uninterrupted is a multimedia platform for athletes, created by Lebron James.","3,096"
UBS,https://www.crunchbase.com/organization/ubs,"Banking, Financial Services, Venture Capital","Zürich, Zurich, Switzerland",UBS is a Swiss global financial services company that serves over 50 countries.,"3,208"
UrbanSitter,https://www.crunchbase.com/organization/urbansitter,"Child Care, Online Portals, Social Network","San Francisco, California, United States",UrbanSitter is an online hub connecting families with babysitters through social networks.,"3,223"
Upgrade Inc.,https://www.crunchbase.com/organization/upgrade,"Credit, Financial Services, FinTech, Lending","San Francisco, California, United States",Upgrade is an online lending company that offers personal loans and credit monitoring.,"3,255"
UJET,https://www.crunchbase.com/organization/ujet,"Communications Infrastructure, Customer Service, Developer Platform, Enterprise Software, Marketing, Software","San Francisco, California, United States",UJET is an enterprise-grade platform that makes it simple for any company to provide intuitive modern-day support.,"3,310"
UpCodes,https://www.crunchbase.com/organization/upcodes,"Architecture, Civil Engineering, Compliance, Construction","San Francisco, California, United States",UpCodes helps the AEC industry deliver code compliant buildings.,"3,370"
Unbabel,https://www.crunchbase.com/organization/unbabel,"Artificial Intelligence, B2B, Machine Learning, Natural Language Processing, Translation Service","Lisbon, Lisboa, Portugal",Unbabel’s “Translation as a Service” platform allows modern enterprises to understand and be understood by their customers in dozens.,"3,461"
Usermind,https://www.crunchbase.com/organization/usermind-inc,"Business Intelligence, Marketing Automation, Sales Automation, Software","Seattle, Washington, United States",Usermind's customer journey orchestration platform makes it simple to integrate systems and improve business outcomes.,"3,489"
UCAN,https://www.crunchbase.com/organization/ucan,"Food and Beverage, Manufacturing, Nutrition","Woodbridge, Connecticut, United States",UCAN manufactures energy products for health-conscious consumers.,"3,503"
uCare.ai,https://www.crunchbase.com/organization/ucare-io,"Artificial Intelligence, Health Care, Predictive Analytics","Singapore, Central Region, Singapore",UCare.ai is a Singapore-based Artificial Intelligence-powered healthcare startup.,"3,528"
UpCounsel,https://www.crunchbase.com/organization/upcounsel,"B2B, Legal, Marketplace","San Francisco, California, United States",UpCounsel is a virtual marketplace for legal services.,"3,536"
