Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Kickstarter,https://www.crunchbase.com/organization/kickstarter,"Crowdfunding, Crowdsourcing, Finance, FinTech, Funding Platform","Brooklyn, New York, United States","Kickstarter is a crowdfunding platform for creative projects such as movies, music, art, theater, games, comics, design, and photography.",30
Kustomer,https://www.crunchbase.com/organization/kustomer,"CRM, Customer Service, SaaS, Small and Medium Businesses","New York, New York, United States","The first platform built around the customer, bringing together everything you need to serve your customers better in one easy-to-use place.",125
Konfio,https://www.crunchbase.com/organization/konfio,"Financial Services, FinTech","Mexico City, Distrito Federal, Mexico",Konfio is an online lending platform for small business loans,139
Knotel,https://www.crunchbase.com/organization/knotel,"Coworking, Events, Real Estate","New York, New York, United States",Knotel is transforming the commercial real estate market with its Agile HQ™ Platform for businesses.,189
Klarna,https://www.crunchbase.com/organization/klarna,"Banking, E-Commerce, Finance, Financial Services, FinTech, Payments","Stockholm, Stockholms Lan, Sweden",Klarna provides e-commerce payment solutions for merchants and shoppers.,251
Keywords Studios,https://www.crunchbase.com/organization/keywords-studios,"Audio, Information Technology, Translation Service, Video Games","Dublin, Dublin, Ireland","Keywords Studios is a provider of technical services to the video game industry in Ireland, Japan, Italy.",267
Katerra,https://www.crunchbase.com/organization/katerra,"Architecture, Construction, Logistics, Mechanical Engineering, Procurement, Product Design, Software, Supply Chain Management","Menlo Park, California, United States",Katerra is a Silicon Valley startup that is redefining the multi-trillion dollar construction industry.,329
Kuaishou,https://www.crunchbase.com/organization/kuaishou,"Mobile Apps, Photo Sharing, Photography","Beijing, Beijing, China",Kuaishou is a platform for recording with millions of original fresh videos every day.,342
KKR & Co. (Kohlberg Kravis Roberts & Co.),https://www.crunchbase.com/organization/kkr,"Finance, Financial Services, Venture Capital","New York, New York, United States","KKR is a global alternative asset manager focusing on private equity, fixed income, and capital markets.",420
KnowBe4,https://www.crunchbase.com/organization/knowbe4-llc,"Computer, Network Security, Security, Software","Clearwater, Florida, United States",KnowBe4 is the world's most popular integrated platform for awareness training combined with simulated phishing attacks.,480
KEYPR,https://www.crunchbase.com/organization/keypr,"Cloud Management, Enterprise Software, Hospitality, Mobile, PaaS, Travel","Los Angeles, California, United States",KEYPR® is a cloud-based technology platform for the hospitality industry providing an integrated end-to-end experience for guests and staff.,516
Klaxoon,https://www.crunchbase.com/organization/klaxoon,"E-Learning, EdTech, Information Services, Information Technology","Rennes, Bretagne, France",Klaxoon is a platform that develops collective intelligence and engagement everywhere people work together. ,521
Kabbage,https://www.crunchbase.com/organization/kabbage,"Credit, Finance, FinTech, Lending","Atlanta, Georgia, United States","Kabbage offers fast, easy loans for small businesses.",545
Kaltura,https://www.crunchbase.com/organization/kaltura,"Content, Education, Open Source, Video, Video Editing","New York, New York, United States",Kaltura is an open-source video platform.,550
KRY,https://www.crunchbase.com/organization/kry,"Biopharma, Health Care, Hospital, Medical Device","Stockholm, Stockholms Lan, Sweden",KRY is transforming the world of healthcare by making care more accessible and convenient.,566
Kush Bottles,https://www.crunchbase.com/organization/kush-bottles,"Health Care, Logistics, Marijuana, Medical","Santa Ana, California, United States",Leading supplier of custom child resistant packaging for the marijuana industry,583
Karbon,https://www.crunchbase.com/organization/karbonhq,"Project Management, SaaS, Software","Sausalito, California, United States",Karbon is next generation practice management software for high performing accounting firms.,664
kmspico for windows 10,https://www.crunchbase.com/organization/kmspico-for-windows-10,"Computer, Software",,"KMSpico is professional tool for windows 10 activation, can also be used for other version of windows. http://www.kmspico.info/",672
Koubei.com,https://www.crunchbase.com/organization/koubei,"Coupons, Professional Services, Restaurants, Search Engine","Hangzhou, Zhejiang, China","Koubei.com is a life search engine providing living consumption information, restaurant, house renting and buying, travelling, and more.",700
Kahoot!,https://www.crunchbase.com/organization/kahoot-,"B2B, EdTech, Education, Gaming, Internet, Mobile, Software","Oslo, Oslo, Norway","Kahoot! is a game-based learning and trivia platform used in a multitude of settings - in classrooms, offices, and at social events.",766
Kneron,https://www.crunchbase.com/organization/kneron,Artificial Intelligence,"San Diego, California, United States",A Shenzhen-based artificial intelligence chip maker. ,866
KAYAK,https://www.crunchbase.com/organization/kayak,"Leisure, Search Engine, Travel","Stamford, Connecticut, United States",Our mission at KAYAK is to helps millions of travelers around the globe make confident travel decisions. ,889
